name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Mitsubishi Outlander 2.4,2012,525000,140000,Petrol,Individual,Automatic,First Owner
Mitsubishi Pajero Sport 4X4,2012,1025000,167870,Diesel,Dealer,Manual,Second Owner
Mitsubishi Pajero 2.8 SFX BSIV Dual Tone,2011,825000,120000,Diesel,Individual,Manual,First Owner
Mitsubishi Pajero 2.8 SFX BSIV Dual Tone,2011,825000,120000,Diesel,Individual,Manual,First Owner
Mitsubishi Montero 3.2 MT,2007,750000,180000,Diesel,Individual,Manual,First Owner
Mitsubishi Pajero Sport 4X4,2012,1090000,120000,Diesel,Individual,Manual,Second Owner
